name,chinese,english,math,history,health
student1,87,56,72,74,68
student2,57,98,60,74,82
student3,73,64,81,69,68
student4,85,55,87,81,50
student5,67,57,88,98,51
student6,56,92,69,100,96
student7,93,70,68,80,72
student8,54,55,70,57,53
student9,84,69,99,97,71
student10,79,94,51,84,90
student11,85,86,70,60,79
student12,64,80,89,99,75
student13,70,84,68,58,92
student14,92,86,72,51,86
student15,67,58,60,55,88
student16,90,64,57,80,83
student17,76,95,86,62,93
student18,96,98,74,64,52
student19,53,74,95,90,99
student20,91,87,59,98,79
student21,76,64,79,68,85
student22,95,79,69,61,59
student23,66,58,56,89,95
student24,72,68,87,81,64
student25,99,93,51,66,100
student26,58,77,51,60,72
student27,97,91,89,51,61
student28,82,51,67,78,80
student29,52,97,71,63,51
student30,55,96,96,72,67
student31,64,71,99,94,69
student32,91,57,89,89,91
student33,97,79,99,60,66
student34,68,76,96,55,72
student35,75,95,54,59,94
student36,72,65,83,98,58
student37,71,55,70,100,87
student38,84,50,71,54,54
student39,67,79,79,55,52
student40,65,98,68,58,88
student41,65,81,87,100,77
student42,80,75,80,95,89
student43,59,80,53,50,60
student44,92,86,81,67,64
student45,51,63,59,91,84
student46,61,86,80,66,57
student47,97,88,94,100,61
student48,89,97,50,50,95
student49,68,92,95,51,71
student50,94,71,51,90,87
